English	Romanian
I	eu
we	noi
they	ei
this	acesta
that	acela
here	aici
there	acolo
who	cine
what	ce
where	unde
when	când
how	cum
not	nu
all	tot
many	mulți
some	niște
few	puțin
other	alt
two	doi
three	trei
four	patru
five	cinci
big	mare
long	lung
wide	larg
thick	gros
heavy	greu
small	mic
short	scurt
narrow	strâmt
thin	subțire
woman	femeie
man	bărbat
man	om
child	copil
wife	soție
husband	soț
mother	mamă
father	tată
animal	animal
fish	pește
bird	pasăre
dog	câine
louse	păduche
snake	șarpe
worm	vierme
tree	copac
forest	pădure
stick	băț
fruit	fruct
seed	sămânță
leaf	frunză
root	rădăcină
bark	scoarță
flower	floare
grass	iarbă
rope	frânghie
skin	piele
meat	carne
blood	sânge
bone	os
fat	grăsime
egg	ou
horn	corn
tail	coadă
feather	pană
hair	păr
head	cap
ear	ureche
eye	ochi
nose	nas
mouth	gură
tooth	dinte
tongue	limbă
fingernail	unghie
leg	picior
knee	genunchi
hand	mână
wing	aripă
belly	burtă
guts	măruntaie
neck	gât
back	spate
breast	piept
heart	inimă
liver	ficat
drink	bea
eat	mânca
bite	mușca
suck	suge
spit	scuipa
vomit	vomita
blow	sufla
breathe	respira
laugh	râde
see	vedea
hear	auzi
know	ști
think	gândi
smell	mirosi
fear	teme
sleep	dormi
live	trăi
die	muri
kill	omorî
fight	lupta
hunt	vâna
hit	lovi
cut	tăia
split	despica
stab	înjunghia
scratch	zgâria
dig	săpa
swim	înota
fly	zbura
walk	merge
come	veni
lie (as in a bed)	zăcea
sit	așeza
stand	scul
turn (intransitive)	întoarce
fall	cădea
give	da
hold	ține
squeeze	strânge
rub	freca
wash	spăla
wipe	șterge
pull	trage
push	împinge
throw	arunca
tie	lega
sew	coase
count	număra
say	spune
sing	cânta
play	juca
float	pluti
flow	curge
freeze	îngheța
swell	umfla
sun	soare
moon	lună
star	stea
water	apă
rain	ploaie
river	râu
lake	lac
sea	mare
salt	sare
stone	piatră
sand	nisip
dust	praf
earth	pământ
cloud	nor
fog	ceață
sky	cer
wind	vânt
snow	zăpadă\
ice	gheață
smoke	fum
fire	foc
ash	cenușă
burn	arde
road	drum
mountain	munte
red	roșu
green	verde
yellow	galben
white	alb
black	negru
night	noapte
day	zi
year	an
warm	cald
cold	frig
full	plin
new	nou
old	vechi
good	bun
bad	rău
rotten	putred
dirty	murdar
straight	drept
round	rotund
sharp	ascuțit
dull	tocit
smooth	neted
wet	ud
dry	uscat
correct	drept
near	lângă
far	departe
right	drept
left	stâng
at	la
in	în
with	cu
and	și
if	dacă
because	fiindcă
name	nume
